_id                      ,isPb ,wpm   ,acc   ,rawWpm ,consistency ,charStats    ,mode  ,mode2 ,quoteLength ,restartCount ,testDuration ,afkDuration ,incompleteTestSeconds ,punctuation ,numbers ,language ,funbox    ,difficulty ,lazyMode ,blindMode ,bailedOut ,tags ,timestamp
66f3879066c51bbe1422dbd5 ,     ,55.3  ,78.79 , 79.45 ,      72.89 ,87;14;1;5    ,words ,   25 ,-1          ,           2 ,       18.88 ,          0 ,                 5.33 ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1727235984000
66f3877466c51bbe1422dab7 ,     ,73.94 ,90.44 , 78.19 ,      62.88 ,122;3;1;1    ,words ,   25 ,-1          ,           0 ,       19.8  ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1727235956000
66f3875e66c51bbe1422d9e5 ,     ,58.53 ,91.49 , 62.78 ,      62.37 ,124;3;0;1    ,words ,   25 ,-1          ,           0 ,       25.42 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1727235934000
66f3874466c51bbe1422d8d0 ,     ,67.8  ,95.49 , 67.8  ,      55.6  ,127;0;0;0    ,words ,   25 ,-1          ,           0 ,       22.48 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1727235908000
66f3872c66c51bbe1422d7e9 ,     ,68.03 ,92.37 , 71.49 ,      69.63 ,118;2;0;0    ,words ,   25 ,-1          ,           0 ,       20.81 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1727235884000
66f3871666c51bbe1422d6fc ,     ,60.22 ,92.65 , 62.71 ,      62.85 ,121;0;0;1    ,words ,   25 ,-1          ,           0 ,       24.11 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1727235862000
66f386fd66c51bbe1422d609 ,     ,57.67 ,89.29 , 59.58 ,      52.02 ,121;0;0;1    ,words ,   25 ,-1          ,           0 ,       25.18 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1727235837000
66f386e266c51bbe1422d505 ,     ,69.37 ,88.03 , 69.37 ,      66.79 ,125;0;0;0    ,words ,   25 ,-1          ,           0 ,       21.62 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1727235810000
66f386cb66c51bbe1422d410 ,     ,69.19 ,91.11 , 72.67 ,      63.84 ,119;2;0;0    ,words ,   25 ,-1          ,           0 ,       20.64 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1727235787000
66f386b566c51bbe1422d327 ,     ,53.91 ,84.83 , 58.09 ,      64.96 ,116;2;0;1    ,words ,   25 ,-1          ,           0 ,       25.82 ,          0 ,                 0    ,false       ,false   ,english  ,none      ,normal     ,false    ,false     ,false     ,     ,1727235765000
